# Proxy Bulk Import
# Format: NAME|HOST|PORT|USERNAME|PASSWORD|TYPE|REGION|STATUS|NOTES
# Required: NAME, HOST, PORT

proxy-1.231.81.166-3128|1.231.81.166|3128|||http||active|AI verified twice
proxy-103.130.61.61-8081|103.130.61.61|8081|||http||active|AI verified twice
proxy-103.180.126.83-8080|103.180.126.83|8080|||http||active|AI verified twice
proxy-103.237.102.191-11111|103.237.102.191|11111|||http||active|AI verified twice
proxy-103.88.234.239-40013|103.88.234.239|40013|||http||active|AI verified twice
proxy-111.119.162.248-10922|111.119.162.248|10922|||http||active|AI verified twice
proxy-111.192.16.130-8888|111.192.16.130|8888|||http||active|AI verified twice
proxy-111.230.27.213-3128|111.230.27.213|3128|||http||active|AI verified twice
proxy-113.45.195.147-3128|113.45.195.147|3128|||http||active|AI verified twice
proxy-114.236.137.41-21000|114.236.137.41|21000|||http||active|AI verified twice
proxy-117.236.124.166-3128|117.236.124.166|3128|||http||active|AI verified twice
proxy-123.115.180.136-8888|123.115.180.136|8888|||http||active|AI verified twice
proxy-123.121.113.161-8888|123.121.113.161|8888|||http||active|AI verified twice
proxy-129.226.206.61-80|129.226.206.61|80|||http||active|AI verified twice
proxy-130.61.112.125-443|130.61.112.125|443|||http||active|AI verified twice
proxy-131.153.163.163-54315|131.153.163.163|54315|||http||active|AI verified twice
proxy-131.153.163.164-33251|131.153.163.164|33251|||http||active|AI verified twice
proxy-131.153.163.30-8254|131.153.163.30|8254|||http||active|AI verified twice
proxy-14.139.235.82-3128|14.139.235.82|3128|||http||active|AI verified twice
proxy-144.31.185.62-8080|144.31.185.62|8080|||http||active|AI verified twice
proxy-152.42.177.32-8888|152.42.177.32|8888|||http||active|AI verified twice
proxy-157.85.105.222-3128|157.85.105.222|3128|||http||active|AI verified twice
proxy-173.212.240.48-8888|173.212.240.48|8888|||http||active|AI verified twice
proxy-174.138.161.194-50085|174.138.161.194|50085|||http||active|AI verified twice
proxy-174.138.161.195-38798|174.138.161.195|38798|||http||active|AI verified twice
proxy-174.138.162.194-8178|174.138.162.194|8178|||http||active|AI verified twice
proxy-174.138.163.54-8254|174.138.163.54|8254|||http||active|AI verified twice
proxy-174.138.165.214-34949|174.138.165.214|34949|||http||active|AI verified twice
proxy-179.41.11.138-8080|179.41.11.138|8080|||http||active|AI verified twice
proxy-181.39.25.196-8118|181.39.25.196|8118|||http||active|AI verified twice
proxy-181.78.23.187-999|181.78.23.187|999|||http||active|AI verified twice
proxy-181.78.74.252-999|181.78.74.252|999|||http||active|AI verified twice
proxy-185.238.238.21-58080|185.238.238.21|58080|||http||active|AI verified twice
proxy-190.97.236.128-999|190.97.236.128|999|||http||active|AI verified twice
proxy-197.224.185.3-3128|197.224.185.3|3128|||http||active|AI verified twice
proxy-219.142.66.245-9090|219.142.66.245|9090|||http||active|AI verified twice
proxy-3.211.120.181-443|3.211.120.181|443|||http||active|AI verified twice
proxy-37.59.125.131-8888|37.59.125.131|8888|||http||active|AI verified twice
proxy-43.109.48.180-9999|43.109.48.180|9999|||http||active|AI verified twice
proxy-43.156.227.68-80|43.156.227.68|80|||http||active|AI verified twice
proxy-47.81.56.193-8888|47.81.56.193|8888|||http||active|AI verified twice
proxy-68.178.174.239-8888|68.178.174.239|8888|||http||active|AI verified twice
proxy-86.53.111.249-8080|86.53.111.249|8080|||http||active|AI verified twice
proxy-87.237.15.238-7080|87.237.15.238|7080|||http||active|AI verified twice
proxy-103.88.234.239-40013|103.88.234.239|40013|||socks5||active|AI verified twice
proxy-85.209.156.148-1080|85.209.156.148|1080|||socks5||active|AI verified twice
proxy-101.96.219.251-44216|101.96.219.251|44216|||socks5||active|AI verified twice
proxy-185.118.143.141-1080|185.118.143.141|1080|||socks5||active|AI verified twice
proxy-49.13.22.249-10801|49.13.22.249|10801|||socks5||active|AI verified twice
proxy-5.255.117.127-1080|5.255.117.127|1080|||socks5||active|AI verified twice
proxy-59.36.210.211-13552|59.36.210.211|13552|||socks5||active|AI verified twice
proxy-89.36.32.142-1080|89.36.32.142|1080|||socks5||active|AI verified twice
